tracking_id,sender,recipient,origin_province,destination_province,distance_km,weight_kg,package_quantity,ship_type,day_of_week,month,delayed,delivery_days
ENV-0001,Benjamin Perez Diaz,Amparo Paez Rodriguez,Santa Fe,Chaco,426,37.21,8,0,1,12,1,3
ENV-0002,Martina Gomez,Juan Bautista Martina Diaz,San Luis,Misiones,378,1.97,7,0,4,10,1,2
ENV-0003,Dr(a). Delfina Nuñez,Alejo Fernandez Flores,Tierra del Fuego,Santa Fe,2559,21.27,15,1,6,1,1,22
ENV-0004,Felipe Maximiliano Romero Gomez,Benicio Romero Perez,Tierra del Fuego,Misiones,1757,14.25,7,1,0,2,1,19
ENV-0005,Sebastian Rojas Valdez,Bautista Garcia,La Rioja,Santa Cruz,987,40.45,15,0,3,2,0,2
ENV-0006,Dr(a). Dante Vega,Antonella Ramos Velazquez,Santa Fe,Santa Cruz,1612,29.08,3,0,5,4,0,3
ENV-0007,Mateo Ezequiel Olivia Acosta,Mateo Benicio Carrizo Quiroga,Catamarca,Entre Rios,545,19.32,15,1,1,6,1,11
ENV-0008,Tomas Lopez Ojeda,Malena Victoria Blanco,Tierra del Fuego,Santiago del Estero,1888,30.65,6,0,1,8,0,3
ENV-0009,Sr(a). Ramiro Mansilla,Francisco Gonzalez Sanchez,Santa Fe,Tierra del Fuego,2562,11.37,11,0,1,1,0,4
ENV-0010,Bautista Ian Ezequiel Ortiz Vera,Ambar Camila Avila,Mendoza,Formosa,50,10.94,19,1,1,11,1,6
ENV-0011,Felipe Fernandez,Dr(a). Thiago Valentin Flores,Neuquen,Chubut,237,7.41,18,1,5,10,1,8
ENV-0012,Dr(a). Guadalupe Franco,Bianca Catalina Gonzalez,Mendoza,La Rioja,76,49.87,5,1,0,1,0,3
ENV-0013,Felipe Fernandez Peralta,Sr(a). Olivia Luna,Chubut,Santa Fe,860,39.71,14,0,3,7,0,2
ENV-0014,Julia Valdez,Thiago Ezequiel Gomez Cruz,Neuquen,Salta,284,48.57,1,0,5,9,0,1
ENV-0015,Camilo Alma Garcia Fernandez,Benjamin Alejandro Hernandez Perez,Santa Fe,La Pampa,50,15.03,6,1,0,12,0,3
ENV-0016,Sr(a). Bianca Gomez,Maite Bianca Diaz Torres,Formosa,Salta,265,25.63,4,1,6,11,1,6
ENV-0017,Juan Pablo Santiago Benjamin Pereyra,Matias Suarez Gomez,Chubut,La Rioja,261,27.2,17,0,4,6,0,1
ENV-0018,Emiliano Ludmila Sanchez Rodriguez,Sr(a). Catalina Suarez,Chaco,La Rioja,98,12.35,8,0,0,12,0,1
ENV-0019,Ema Rojas Gomez,Abigail Lopez,Catamarca,San Juan,52,6.86,16,0,2,9,0,1
ENV-0020,Dr(a). Ciro Benjamin Soria,Luz Milagros Camila Carrizo,Misiones,Corrientes,308,37.89,7,1,3,11,1,10
ENV-0021,Simon Agustina Gomez Martinez,Benjamin Nicolas Nuñez Gonzalez,Salta,Neuquen,250,12.77,3,1,0,10,0,5
ENV-0022,Francisco Barrios Mendez,Agustina Garcia Suarez,San Luis,Entre Rios,271,4.01,2,0,0,1,0,1
ENV-0023,Sr(a). Lisandro Cruz,Dr(a). Emma Herrera,Catamarca,Salta,380,14.28,16,0,4,3,0,1
ENV-0024,Santiago Gomez,Benicio Ramirez,San Luis,San Luis,141,12.53,16,1,1,2,1,5
ENV-0025,Felicitas Velazquez Gomez,Sebastian Figueroa,La Rioja,Misiones,175,23.62,2,0,0,7,0,1
ENV-0026,Valentina Lopez Acosta,Joaquin Medina,Chaco,Entre Rios,519,9.92,15,0,3,3,0,2
ENV-0027,Simon Guzman Molina,Jeremias Rojas Gonzalez,Entre Rios,Catamarca,633,40.5,18,0,0,11,0,2
ENV-0028,Gabriel Farias Lopez,Jazmin Guzman,Buenos Aires,Catamarca,980,8.73,16,1,1,7,0,10
ENV-0029,Mateo Gonzalez Alvarez,Emilia Quiroga,Cordoba,Mendoza,270,49.27,9,1,2,7,0,5
ENV-0030,Dr(a). Felipe Garcia,Clara Molina Cardozo,Tucuman,San Juan,194,8.16,10,0,0,10,0,1
ENV-0031,Isabella Herrera Ayala,Sr(a). Isabella Gimenez,CABA,Tucuman,1250,3.33,19,1,4,9,1,17
